玛法大陆专属---------------------------------------
灵骨舍利=/<img:1557:0:20:3>/ \/ \<img:564:0:3:20>/\<img:1176:0:3:0>  22/+2%/22/ 最大攻击力\/\<img:565:0:3:20>\158/该物品由/222/[大唐圣僧]/158/掉落\<img:566:0:3:20>\87/来自东土大唐\87/身上带着很多的宝物。
火眼金睛=/<img:1557:0:20:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[齐天大圣]/158/掉落\<img:566:0:3:20>\87/光滑圆润，入手可盘\158/可在地图/ 222/西游异世界\151/坐标：219，84/ 146/升级武器的材料
丈二金身=/<img:1557:0:20:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[卷帘大将]/158/掉落\<img:566:0:3:20>\87/光滑圆润，入手可盘\158/可在地图/ 222/西游异世界\151/坐标：219，84/ 146/升级武器的材料
玉龙三太子=/<img:1557:0:20:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[白龙马]/158/掉落\<img:566:0:3:20>\251/双击物品\251/吸收伤害1%，只能吃一次
定风珠=/<img:1557:0:20:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[青狮王]/158/掉落\<img:566:0:3:20>//\251/双击物品\251/每秒恢复增加100HP
飞扬镇专属---------------------------------------
欢乐肥宅=/<img:1569:0:0:3>/ \/ \<img:178:0:3:20>/\<img:1176:0:3:0>  239/+ 5/229/ 物防魔防\/<img:1176:0:3:0>58/+ 2%/58/ 最大攻击力/\<img:1176:0:3:0>  22/+ 2%/21/ 最大生命值/\<img:567:0:3:20>//\<img:1176:0:3:0>243/BUFF：/70/攻击时5%概率召唤一只恶魔董卓\70/   持续15秒,恶魔董卓威力是人物属性2倍\/\<img:565:0:3:20>\158/该物品由/222/[董卓]/158/掉落\<img:566:0:3:20>\87/来自军营的守将\87/身上私藏着很多的宝物。
曹操卷轴=/<img:1569:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[曹操]/158/掉落\<img:566:0:3:20>\251/双击物品\251/给予[曹操出行]称号\251/物魔防+5 攻魔道+5 生命值+50
老而弥坚称号=/<img:1569:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[张昭]/158/掉落\<img:566:0:3:20>\251/双击物品\251/给予[老而弥坚]称号\251/全属性+5 对怪伤害+3%
桀骜不驯=/<img:1569:0:0:3>/ \/ \<img:564:0:3:20>/\<img:1176:0:3:0>  22/+15%/21/  最大攻击力/\<img:567:0:3:20>//\<img:1176:0:3:0>243/BUFF：/70/刀刀附带自身攻击力的切割10%\/\<img:565:0:3:20>\158/该物品由/222/[马超]/158/掉落\<img:566:0:3:20>\87/独行侠的目标请对准他。
招安状=/<img:1569:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[徐晃]/158/掉落\<img:566:0:3:20>\251/双击物品\251/随机获得10W-100W元宝
边界要塞专属---------------------------------------
无德有功卷轴=/<img:1571:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[隋炀帝杨广]/158/掉落\<img:566:0:3:20>\251/双击物品\251/给予[无德有功]称号\251/伤害反弹+3%
人不知兵=/<img:1571:0:0:3>/ \/ \<img:564:0:3:20>/\<img:1176:0:3:0>  22/+3%/21/ 最大攻击力/\<img:567:0:3:20>//\<img:1176:0:3:0>243/BUFF：/70/攻击怪物跟人物时几率触发3*3地钉\/\<img:565:0:3:20>\158/该物品由/222/[宋太宗赵炅]/158/掉落\<img:566:0:3:20>\87/宋太宗赵炅，岁月不详
统一女真=/<img:1571:0:0:3>/ \/ \<img:564:0:3:20>/\<img:1176:0:3:0>  22/+4%/22/ 最大攻击力/\<img:1176:0:3:0>70/+4%/68/ 物理防御值\/<img:1176:0:3:0>  239/+4% /229/最大生命值\/\<img:565:0:3:20>\158/该物品由/222/[清太祖努尔哈赤]/158/掉落\<img:566:0:3:20>\87/长相妖娆且能化形。
乾纲独断=/<img:1571:0:0:3>/ \/ \<img:564:0:3:20>\//70/4*4范围内技能一共1波\70/等级低于技能拥有者有几率被冰冻2秒\70/技能伤害威力100% CD300秒\/\<img:565:0:3:20>\158/该物品由/222/[清世祖顺治]/158/掉落\<img:566:0:3:20>\87/此人前身可呼风唤雨
平定三藩=/<img:1571:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[清圣祖康熙]/158/掉落\<img:566:0:3:20>\251/放置在背包内即可生效\19/每60秒给人物临时增加10%攻魔道持续10秒
天下为公=/<img:1571:0:0:3>/ \/ \<img:565:0:3:20>/\158/该物品由/222/[国父中山]/158/掉落\<img:566:0:3:20>\251/放置在背包内即可生效\146/人物复活后自动消耗此物品\146/触发人物所有属性*1.5增长持续30秒
域外之城专属---------------------------------------
魔魂之城专属----------------------------------------------------------------------
星云风暴卷轴=/<img:1575:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[仙女星座·瞬]/158/掉落\<img:566:0:3:20>\251/双击物品\251/给予[星云风暴]称号\251/爆率+5%\251/之后每一个卷轴+100W元宝\251/可以升5%爆率最高升10次
万贯家财=/<img:1575:0:0:3>/\/\<img:565:0:3:20>\/\158/该物品由/222/[御夫座·加比拉]/158/掉落\<img:566:0:3:20>\251/放置在背包内即可生效\146/回收增加10%
射手座称号=/<img:1575:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[射手座·艾欧里斯]/158/掉落\<img:566:0:3:20>\251/双击物品\251/给予[射手座]称号\251/防御魔域100-100\251/攻魔道20-20\251/元素体力魔力+2%
深渊魔域专属-----------------------------------------------------
轰天雷=/<img:1558:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[轰天雷·凌振]/158/掉落\<img:566:0:3:20>\251/双击物品\146/1.爆率+50%,持续24小时\146/2.对话框倍攻1.1倍 24小时消失\146/3.给元宝100W!
小遮拦羞羞=/<img:1558:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[小遮拦·穆春]/158/掉落\<img:566:0:3:20>\251/放置在背包内即可生效\146/随机给与1-50%爆率
神算子占卜=/<img:1558:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[神算子·蒋敬]/158/掉落\<img:566:0:3:20>\251/双击物品\146/爆率+30%,吸收+5%\146/魔法道术切割+20%\146/吸血+3%,其中一种\146/一个占卜球可以用3次\146/持续时间为8小时
锦豹子披风=/<img:1558:0:0:3>/ \/ \<img:564:0:3:20>\/<img:1176:0:3:0>  239/+35% /229/最大生命值\<img:565:0:3:20>\158/该物品由/222/[锦豹子·杨林]/158/掉落\<img:566:0:3:20>\87/独行侠的目标请对准他。
梦幻独角龙=/<img:1558:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[独角龙·邹润]/158/掉落\<img:566:0:3:20>\251/双击物品\146/对话框倍攻+20%\146/全属性+300,全元素+5%\146/其中一种,一个占卜球\146/一共可以用3次,持续时间为8小时
地狱之城专属----------------------------------------------------
叔常的召唤=/<img:1570:0:0:3>/ \/ \<img:565:0:3:20>\/\158/该物品由/222/[曾叔常]/158/掉落\<img:566:0:3:20>\251/双击物品\146/召唤一只死亡召唤者属性5倍的宝宝\146/使用次数30次
神域专属----------------------------------------------------
武器图纸-----------------------------------
光之剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*10\/\<img:181:0:-6:0>/146/天外陨石*10\/\<img:181:0:-6:0>/146/神器碎片*10\/\<img:181:0:-6:0>/146/100000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
蓝灵法杖图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*20/\<img:181:0:-6:0>/146/天外陨石*20\/\<img:181:0:-6:0>/146/神器碎片*20\/\<img:181:0:-6:0>/146/200000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
邪恶之剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*30/\<img:181:0:-6:0>/146/天外陨石*30\/\<img:181:0:-6:0>/146/神器碎片*30\/\<img:181:0:-6:0>/146/300000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
末日之斧图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*40/\<img:181:0:-6:0>/146/天外陨石*40\/\<img:181:0:-6:0>/146/神器碎片*40\/\<img:181:0:-6:0>/146/400000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
绿玉屠龙图纸=/ \<img:182:0:3:20>\/\@1<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*50/\<img:181:0:-6:0>/146/天外陨石*50\/\<img:181:0:-6:0>/146/神器碎片*50\/\<img:181:0:-6:0>/146/500000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
绿玉裁决图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*60/\<img:181:0:-6:0>/146/天外陨石*60\/\<img:181:0:-6:0>/146/神器碎片*60\/\<img:181:0:-6:0>/146/600000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
退魔权杖图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*70/\<img:181:0:-6:0>/146/天外陨石*70\/\<img:181:0:-6:0>/146/神器碎片*70\/\<img:181:0:-6:0>/146/700000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
寒冰剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*80/\<img:181:0:-6:0>/146/天外陨石*80\/\<img:181:0:-6:0>/146/神器碎片*80\/\<img:181:0:-6:0>/146/800000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
幽灵の魔图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*90/\<img:181:0:-6:0>/146/天外陨石*90\/\<img:181:0:-6:0>/146/神器碎片*90\/\<img:181:0:-6:0>/146/900000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
毒龙之身图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*100/\<img:181:0:-6:0>/146/天外陨石*100\/\<img:181:0:-6:0>/146/神器碎片*100\/\<img:181:0:-6:0>/146/1000000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
幽冥の鬼爪图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*110/\<img:181:0:-6:0>/146/天外陨石*110\/\<img:181:0:-6:0>/146/神器碎片*110\/\<img:181:0:-6:0>/146/1100000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
倚天剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*120/\<img:181:0:-6:0>/146/天外陨石*120\/\<img:181:0:-6:0>/146/神器碎片*120\/\<img:181:0:-6:0>/146/1200000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
假·破馆珍剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*130/\<img:181:0:-6:0>/146/天外陨石*130\/\<img:181:0:-6:0>/146/神器碎片*130\/\<img:181:0:-6:0>/146/1300000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
破碎·破馆珍剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*140/\<img:181:0:-6:0>/146/天外陨石*140\/\<img:181:0:-6:0>/146/神器碎片*140\/\<img:181:0:-6:0>/146/1400000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
破馆珍剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*150/\<img:181:0:-6:0>/146/天外陨石*150\/\<img:181:0:-6:0>/146/神器碎片*150\/\<img:181:0:-6:0>/146/1500000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
真·破馆珍剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/破馆珍剑*2\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
赤血魔剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/修炼石*170/\<img:181:0:-6:0>/146/天外陨石*170\/\<img:181:0:-6:0>/146/神器碎片*170\/\<img:181:0:-6:0>/146/1700000元宝\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
小红剑图纸=/ \<img:182:0:3:20>\/\<img:181:0:-6:0>/87/---打造武器图纸---\/\<img:181:0:-6:0>/87/打造条件如下：\/\<img:181:0:-6:0>/146/赤血魔剑*2\/\<img:181:0:-6:0>/87/属性详情：\/\<img:181:0:-6:0>/87/请查看神兵谱！
