;地图     X坐标     Y坐标     怪物名称     范围半径     怪物数量     刷新时间(分)     是否显示小地图     名称颜色(0~255)     触发QFunction-0.txt
激情泡点 15 26 专杀红名 1 1 30
;盟重土城
;-------------------------------------------------------------------------------
;首饰店
3	288	305	弓箭护卫	0	1	5
3	303	302	弓箭护卫	0	1	5
3	305	290	弓箭护卫	0	1	5
;武器店
3	325	311	弓箭护卫	0	1	5
3	342	313	弓箭护卫	0	1	5

;特殊怪物
;-------------------------------------------------------------------------------
0111	9	13	练功师		0	1	5
1002	13	14	虎卫		8	1	240
12	175	250	鹰卫		150	1	240
3	350	331	练功师		0	1	5
;-------------------------------------------------------------------------------	

;特殊怪物
;-------------------------------------------------------------------------------
t118	13	11	经验猪	0	1	1	0	255
t118	7	17	经验猪	0	1	1	0	255	
t118	14	23	经验猪	0	1	1	0	255	
t118	20	17	经验猪	0	1	1	0	255		
;-------------------------------------------------------------------------------								
;----------------------------------------------------------------------------------------------------------------------------------------										
;新手训练营										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
新手训练营	23	27	鸡	300	50	1	0	255		
新手训练营	23	27	鸡	300	50	2	0	255		
新手训练营	23	27	鸡	300	50	3	0	255		
新手训练营	23	27	鸡	300	50	4	0	255		
新手训练营	23	27	鸡	300	50	5	0	255		
新手训练营	23	27	鹿	300	50	1	0	255		
新手训练营	23	27	鹿	300	50	2	0	255		
新手训练营	23	27	鹿	300	50	3	0	255		
新手训练营	23	27	鹿	300	50	4	0	255		
新手训练营	23	27	鹿	300	50	5	0	255		
新手训练营	23	27	稻草人	300	50	1	0	255		
新手训练营	23	27	稻草人	300	50	2	0	255		
新手训练营	23	27	稻草人	300	50	3	0	255		
新手训练营	23	27	稻草人	300	50	4	0	255		
新手训练营	23	27	稻草人	300	50	5	0	255		
新手训练营	23	27	半兽人	300	50	1	0	255		
新手训练营	23	27	半兽人	300	50	2	0	255		
新手训练营	23	27	半兽人	300	50	3	0	255		
新手训练营	23	27	半兽人	300	50	4	0	255		
新手训练营	23	27	半兽人	300	50	5	0	255		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;起点迷宮										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
起点迷宫	300	300	战将	300	200	10	0	255		
起点迷宫	300	300	战魔	300	200	10	0	255		
起点迷宫	300	300	战狂	300	200	10	0	255		
起点迷宫	54	58	【BOSS】牛魔王	1	1	30	1	249		
起点迷宫	374	32	【BOSS】暗之牛魔王	1	1	30	1	249		
起点迷宫	250	253	【BOSS】牛魔王	1	1	30	1	249		
起点迷宫	95	364	【BOSS】暗之牛魔王	1	1	30	1	249		
起点迷宫	170	174	【BOSS】牛魔王	1	1	30	1	249		
起点迷宫	252	255	【BOSS】暗之牛魔王	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;冰之雪崖一层[冰之雪崖]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
冰之雪崖	300	300	蜘蛛[冻]1	300	100	10	0	255		
冰之雪崖	300	300	蜘蛛[毒]1	300	100	10	0	255		
冰之雪崖	300	300	蜘蛛守卫1	300	100	10	0	255		
冰之雪崖	102	34	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	75	82	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	151	78	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	197	82	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	185	103	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	211	121	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	213	148	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	186	169	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	129	192	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	89	183	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	83	172	【BOSS】雪人王	1	1	30	1	249		
冰之雪崖	86	142	【BOSS】雪人王	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;冰之雪崖二层[冰之雪窑]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
冰之雪窑	300	300	蜘蛛[冻]2	300	100	10	0	255		
冰之雪窑	300	300	蜘蛛[毒]2	300	100	10	0	255		
冰之雪窑	300	300	蜘蛛守卫2	300	100	10	0	255		
冰之雪窑	135	52	【BOSS】冰石巨人	1	1	30	1	249		
冰之雪窑	197	55	【BOSS】冰石巨人	1	1	30	1	249		
冰之雪窑	123	13	【BOSS】冰石巨人	1	1	30	1	249		
冰之雪窑	119	158	【BOSS】冰石巨人	1	1	30	1	249		
冰之雪窑	45	162	【BOSS】冰石巨人	1	1	30	1	249		
冰之雪窑	57	108	【BOSS】冰石巨人	1	1	30	1	249		
冰之雪窑	123	111	【BOSS】冰石巨人	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;冰之雪崖三层[冰封通道]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
冰封通道	300	300	蜘蛛[冻]3	300	100	10	0	255		
冰封通道	300	300	蜘蛛[毒]3	300	100	10	0	255		
冰封通道	300	300	蜘蛛守卫3	300	100	10	0	255		
冰封通道	52	64	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	91	99	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	73	141	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	160	155	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	172	155	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	152	141	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	172	109	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	121	131	【BOSS】雪域神将	1	1	30	1	249		
冰封通道	197	208	【BOSS】雪域神将	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;冰之雪崖四层[冰封王座]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
冰封王座	300	300	蜘蛛[冻]4	300	10	10	0	255		
冰封王座	300	300	蜘蛛[毒]4	300	10	10	0	255		
冰封王座	300	300	蜘蛛守卫4	300	10	10	0	255		
冰封王座	50	58	【BOSS】冰雪巨魔	1	1	30	1	249		
冰封王座	31	41	【BOSS】冰雪巨魔	1	1	30	1	249		
冰封王座	69	41	【BOSS】冰雪巨魔	1	1	30	1	249		
冰封王座	68	79	【BOSS】冰雪巨魔	1	1	30	1	249		
冰封王座	31	81	【BOSS】冰雪巨魔	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;秦始皇陵一层[皇陵广场]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
皇陵广场	300	300	皇陵將軍	300	100	10	0	255		
皇陵广场	300	300	皇陵法師	300	100	10	0	255		
皇陵广场	300	300	皇陵祭祀	300	100	10	0	255		
皇陵广场	37	37	【BOSS】皇陵魔王	1	1	30	1	249		
皇陵广场	38	67	【BOSS】皇陵魔王	1	1	30	1	249		
皇陵广场	67	67	【BOSS】皇陵魔王	1	1	30	1	249		
皇陵广场	67	37	【BOSS】皇陵魔王	1	1	30	1	249		
皇陵广场	52	51	【BOSS】皇陵魔王	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;秦始皇陵二层[皇陵甬道]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
皇陵甬道	300	300	皇陵蜈蚣	300	200	10	0	255		
皇陵甬道	300	300	皇陵恶蛆	300	200	10	0	255		
皇陵甬道	300	300	皇陵跳蜂	300	200	10	0	255		
皇陵甬道	79	170	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	25	165	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	13	117	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	53	79	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	83	120	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	133	135	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	151	120	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	37	59	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	102	35	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	157	98	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	187	68	【BOSS】皇陵触龙神	1	1	30	1	249		
皇陵甬道	118	27	【BOSS】皇陵触龙神	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;秦始皇陵三层[安息之地]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
安息之地	300	300	皇陵骷髅	300	100	10	0	255		
安息之地	300	300	皇陵神兽	300	100	10	0	255		
安息之地	300	300	皇陵蜜蜂	300	100	10	0	255		
安息之地	143	165	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	93	172	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	49	149	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	19	83	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	28	59	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	97	39	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	156	68	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	167	129	【BOSS】皇陵恶魔	1	1	30	1	249		
安息之地	100	100	【BOSS】皇陵恶魔	1	1	30	1	249		
;----------------------------------------------------------------------------------------------------------------------------------------										
										
;----------------------------------------------------------------------------------------------------------------------------------------										
;秦始皇陵四层[秦皇陵墓]										
;地图索引	X坐标	Y坐标	怪物名称	范围半径	怪物数量	刷新时间(分)	小地图	名称颜色		
秦皇陵墓	300	300	皇陵卫士	300	10	10	0	255		
秦皇陵墓	300	300	皇陵雕像	300	10	10	0	255		
秦皇陵墓	300	300	皇陵弓箭手	300	10	10	0	255		
