;怪物名 忽视防御(0~100) 增加伤害(0~255) 伤害反弹(0~100) 物伤减少(0~100) 魔伤减少(0~100) 麻痹-几率-时间(0~1 0~10 0~10) 防麻痹(0~1) 防全毒(0~1) 防火墙(0~1) 防诱惑(0~1) 破复活(0~1) 破护身(0~1)
[领主]妖魔老祖 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]陈天桥 0 255 0 0 0 1 1 3 1 0 0 0 0 0
阿修罗 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]阎王 0 255 0 0 0 1 1 3 1 0 0 0 0 0
冰城之主 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]盘古 0 255 0 0 0 1 1 3 1 0 0 0 0 0
冰城之主 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]盘古 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]玉帝 0 255 0 0 0 1 1 3 1 0 0 0 0 0
经典魔主 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]冰城老人 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]冰城老祖 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]冰城之主 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]冰城魔王 0 255 0 0 0 1 1 3 1 0 0 0 0 0
雪崖王者 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[皇陵教主 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]天堂王者 0 255 0 0 0 1 1 3 1 0 0 0 0 0
孟婆 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]海外仙岛主 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[领主]神秘老祖 0 255 0 0 0 1 1 3 1 0 0 0 0 0
[子爵]神帝 0 0 0 0 0 1 8 3 0 0 0 0 0 0
[侯爵]神帝 0 0 0 0 0 1 7 3 0 0 0 0 0 0
[公爵]神帝 0 0 0 0 0 1 6 3 0 0 0 0 0 0
[亲王]神帝 0 0 0 0 0 1 5 3 0 0 0 0 0 0
【神魔】金龙 0 0 0 0 0 1 6 3 0 0 0 0 0 0
【霸主】无名 0 0 0 0 0 1 5 3 0 0 0 0 0 0
【神魔】独角兽 0 0 0 0 0 1 7 3 0 0 0 0 0 0
冰城·白野猪 0 1 0 0 0 0 0 0 1 0 0 0 0 0
冰城·黑野猪 0 1 0 0 0 0 0 0 1 0 0 0 0 0
冰城·红野猪 0 1 0 0 0 0 0 0 1 0 0 0 0 0
冰城·精灵 0 1 0 0 0 0 0 0 1 0 0 0 0 0
冰城·毒蛇 0 1 0 0 0 0 0 0 1 0 0 0 0 0
僵尸30 0 155 0 0 0 0 0 0 1 0 0 0 0 0
钉耙猫0	 0 155 0 0 0 0 0 0 1 0 0 0 0 0
多钩猫0 0 155 0 0 0 0 0 0 1 0 0 0 0 0
稻草人0 0 155 0 0 0 0 0 0 1 0 0 0 0 0
麒麟兽 0 100 0 0 0 0 0 0 0 0 0 0 0 0
仙兽 0 100 0 0 0 0 0 0 0 0 0 0 0 0
仙龟 0 100 0 0 0 0 0 0 0 0 0 0 0 0
仙界之龙 0 100 0 0 0 0 0 0 0 0 0 0 0 0
九尾仙狐 0 100 0 0 0 0 0 0 0 0 0 0 0 0
神兽 0 100 0 0 0 0 0 0 0 0 0 0 0 0
天神 0 100 0 0 0 0 0 0 0 0 0 0 0 0 
真神 0 100 0 0 0 0 0 0 0 0 0 0 0 0
经典牛魔王 0 100 0 0 0 0 0 0 0 0 0 0 0 0
经典虹魔教主 0 100 0 0 0 0 0 0 0 0 0 0 0 0
经典沃玛教主 0 100 0 0 0 0 0 0 0 0 0 0 0 0
经典黄泉教主 0 100 0 0 0 0 0 0 0 0 0 0 0 0
经典魔龙教主 0 100 0 0 0 0 0 0 0 0 0 0 0 0
麒麟兽1 0 100 0 0 0 0 0 0 0 0 0 0 0 0
仙兽1 0 100 0 0 0 0 0 0 0 0 0 0 0 0
仙龟1 0 100 0 0 0 0 0 0 0 0 0 0 0 0
仙界之龙1 0 100 0 0 0 0 0 0 0 0 0 0 0 0
至尊·小狗 0 100 0 0 0 0 0 0 0 0 0 0 0 0
至尊·小兔 0 100 0 0 0 0 0 0 0 0 0 0 0 0
至尊·小龟 0 100 0 0 0 0 0 0 0 0 0 0 0 0
至尊·小蛇 0 100 0 0 0 0 0 0 0 0 0 0 0 0
王者·小狗 0 100 0 0 0 0 0 0 0 0 0 0 0 0
王者·小兔 0 100 0 0 0 0 0 0 0 0 0 0 0 0
王者·小龟 0 100 0 0 0 0 0 0 0 0 0 0 0 0
王者·小蛇 0 100 0 0 0 0 0 0 0 0 0 0 0 0
